Targeton	Primer pair	A/B/Total	0	1	2	3	4	5	6	7	8	WGE format	Score
SMARCA4_exon24	SMARCA4_exon24_11	A	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_11	B	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_11	Total	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	0.0
SMARCA4_exon24	SMARCA4_exon24_2	A	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_2	B	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_2	Total	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	0.0
SMARCA4_exon24	SMARCA4_exon24_5	A	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_5	B	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_5	Total	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	0.0
SMARCA4_exon24	SMARCA4_exon24_9	A	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_9	B	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_9	Total	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	0.0
SMARCA4_exon24	SMARCA4_exon24_6	A	1	0	0	0	2	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 2, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_6	B	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_6	Total	1	0	0	0	0	0	0	0	1	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1}	1.0
SMARCA4_exon24	SMARCA4_exon24_8	A	1	0	0	0	0	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_8	B	1	0	0	0	2	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 2, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_8	Total	1	0	0	0	0	0	0	0	1	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1}	1.0
SMARCA4_exon24	SMARCA4_exon24_3	A	1	0	0	2	8	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 2, '4': 8, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_3	B	1	0	0	1	1	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_3	Total	1	0	0	0	0	0	0	3	3	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 3, '8': 3}	33.0
SMARCA4_exon24	SMARCA4_exon24_4	A	1	0	0	2	8	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 2, '4': 8, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_4	B	1	0	0	1	1	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_4	Total	1	0	0	0	0	0	0	3	3	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 3, '8': 3}	33.0
SMARCA4_exon24	SMARCA4_exon24_7	A	1	0	0	2	10	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 2, '4': 10, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_7	B	1	0	0	1	9	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 1, '4': 9, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_7	Total	1	0	0	0	0	0	0	3	8	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 3, '8': 8}	38.0
SMARCA4_exon24	SMARCA4_exon24_1	A	1	0	0	9	72	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 9, '4': 72, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_1	B	1	0	0	1	18	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 1, '4': 18, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_1	Total	1	0	0	0	0	0	0	10	40	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 10, '8': 40}	140.0
SMARCA4_exon24	SMARCA4_exon24_10	A	1	0	2	3	59	0	0	0	0	{'0': 1, '1': 0, '2': 2, '3': 3, '4': 59, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_10	B	1	0	0	0	8	0	0	0	0	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 8, '5': 0, '6': 0, '7': 0, '8': 0}	
SMARCA4_exon24	SMARCA4_exon24_10	Total	1	0	0	0	0	0	2	3	31	{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 2, '7': 3, '8': 31}	261.0
